Person,Work,Work (Drepung),No of folios,No of folios (Drepung),TibSchol Ref #,Drepung Cat #,BDRC #,Author,Author (Drepung),Scribe,Script (Drepung),Place,Topic,Topic (Drepung),Topic signature),Bundle (Drepung),Bundle signature,Folio size,Notes
Zas pa Blo gros rgya mtsho,shes rab kyi pha rol tu phyin pa'i man ngag gi bstan bcos mngon par rtogs pa'i rgyan gyi 'grel pa don gsal gyi rnam par bshad pa mi pham dgongs rgyan,shes rab kyi pha rol tu phyin pa'i man ngag gi bstan bcos mngon par rtogs pa'i rgyan gyi 'grel pa don gsal gyi rnam bshad mi pham dgongs rgyan,121,121,3_075_01,15500,,Zas pa Blo gros rgya mtsho,zad pa blo gros rgya mtsho,,dpe tshugs,,Perfection of wisdom,tsa,,52,,43 x 8,
bsod nams dpal bzang,Shes rab kyi pha rol tu phyin pa'i nyams len snying po rab gsal,don pha rol du phyin pa'i myams len snying po rab gsal,41,41,3_075_02,19592,,bsod nams dpal bzang,bsod nams dpal bzang,,dpe tshugs,no place,Perfection of wisdom,la ,tsha,547,70,42 x 8,
gnas drug pa,cover: sdom pa nyi shu'i' grel pa gnas drug pas mdzad pa,sdom pa nyi shu'i' grel pa gnas drug pas mdzad pa,17,17,3_075_03,19608,,gnas drug pa,rgyal sras dpal ldangnas drug pa,,dpe tshugs,no place,Vows,la,,547,,41 x 6.5,
gnas drug pa,sher snying gi 'grel pa,sher snying gi 'grel pa,8,8,3_075_04,19574,,gnas drug pa,gnas drug pa,,dpe tshugs,no place,Perfection of wisdom,la,la,547,547,25 x 8,
bikShu mang gA la purNe,shes rab kyi pha rol tu phyin pa stong phrag brgya pa'i chad 'jug nyer mkho sgron me,shes rab kyi pha rol tu phyin pa stong phrag brgya pa yi chad 'jug nyer mkho sgron me,6,6,3_075_05,18720,,bikShu mang gA la purNe,bikShu mang g+'a la purNe,,dpe tshugs,dpal_ldan gsang phu ne'u thog gi chos grwa chen po,Perfection of wisdom,la,,345,,33 x 6.5,
Lo tsa ba skyabs mchog dpal bzang,dbu ma rtsa ba shes rab kyi ‘grel pa tshig don rab gsal,dbu ma rtsa ba shes rab kyi ‘grel pa don gsal,97,97,3_076_01,15375,,Lo tsa ba skyabs mchog dpal bzang,sh+'akya'i dge slong skyabs mchog dpal bzang po,,,no place,Madhyamaka,,,,,,
rin chen byang chub,shes rab kyi pha rol tu phyin pa'i man ngag gi bstan bcos mngon par rtogs pa'i rgyan 'grel pa dang bcas pa'i dka' gnad kyi don sbyor skal bzang kha 'byed,,35,,3_076_02,,,rin chen byang chub,,,,no place,Perfection of wisdom,,la,,345,,
Unknown,bden 'dzin dang shes rab kyi rtsod yig,bden 'dzin dang shes rab kyi rtsod yig lha khrid,32,32,3_076_03,19003,,Anonymous,no name given,,,no place,,la,,410,,44 x 8,
Unknown,theg pa chen po'i rgyud bla ma'i bstan bcos gsal byed,theg pa chen po'i rgyud bla ma'i bstan bcos gsal byed,26,26,3_076_04,15916,,Anonymous,no name given,,,no place,Buddha nature,tsha,,91,,64.5 x 10.5,
dGe 'dun 'od zer,rgyud bla ma'i sa bcad mtshungs med legs bshad,rgyud bla ma'i sa bcad mtshungs med legs bshad,14,14,3_076_05,16012,,dGe 'dun 'od zer,dGe 'dun 'od zer,,dpe tshugs,no place,Buddha nature,tsha,tsha,122,,46 x 7.5,
Unknown,bstan bcos rgyud bla ma'i gsal byed bsam mi khyub kyi yi ge,bstan bcos rgyud bla ma'i gdam ngag bsam mi khyub kyi yi ge,10,10,3_076_06,15776,,Anonymous,bla ma spu rangs pa,,,no place,Buddha nature,tsha,,37,,62 x 9,No other work by a bla ma spu rangs pa listed in the Drepung catalogue
sKyo ston smon lam tshul khrims ,dbus mtha'i chings (cover) / dbus mtha'i man ngag gi chings (colophon),dbus mtha'i mchings,9,9,3_076_07,19628,,sKyo ston smon lam tshul khrims ,no name given,,bru tsha,no place,Perfection of wisdom,la,ma,550,627,35 x 6,Folio size + script suggests that most of the works in Drepung 19627-19648 could be part of a collected works
tshul khrims dpal,chos dang chos nyid rnam par 'byed pa lta ba'i me long,,6,,3_076_08,,,tshul khrims dpal,,,,no place,Perfection of wisdom,,,,,,
Unknown,dbus mtha'i 'grel pa dbu ma'i gnang ba zhes bya ba'i bsdus don,dbus mtha'i 'grel pa dbu ma'i gnang ba zhes ba'i bsdus don,2,39,3_076_09,16017,,Anonymous,bla ma dam pa bsod nams rgyal mtshan,,dpe tshugs,no place,Perfection of wisdom,tsha,,125,,none given,
dad pa'i 'gyung gnas,grel don gsal gyi bsdus don,mngon rtogs rgyan gyi bsdus don,7,7,3_076_10,15825,,dad pa'i 'gyung gnas,dge slong dad pa'i 'byung gnas,,bru tsha,no place,Perfection of wisdom,tsha,,51,,62 x 7,
dmyal lde'i jo sras rin chen rdo rje,mngon rtogs rgyan gyi bsdus don,,7,,3_076_11,,,dmyal lde'i jo sras rin chen rdo rje,,,,no place,Perfection of wisdom,,,,,,
Unknown,chos nyid mi 'gyur ba'i dpe / theg pa chen po rgyud bla ma’i spyi don ,,1,,3_076_12,,,Anonymous,,,,no place,Buddha nature,,,,,,
Unknown,spyi don,,1,,3_076_13,,,Anonymous,,,,,,,,,,,
shes rab rin chen,mngon rtogs rgyan gyi 'grel pa gsal ba'i snang byed / mdo sde rgyan?,mngon par rtogs pa'i rgyan gyi 'grel pa gsal bar,198,198,3_077_01,15819,,shes rab rin chen,sh+'akya'i dge slong shes rab rin chen,,sgong shabs,,Maitreya 1,tsha,,47,,66 x 9,
Unknown,byang chub sems dpa'i sdom pa'i rnam bshad,,53,,3_077_02,,,Anonymous,,,,no place,Vows,,,,,,
bSod nams rin chen (=sGam po pa?),las kyi me long zhes bya ba'i tshig le'ur byas pa,mdo sde las kyi me long,103,103,3_078_01,18729,,bSod nams rin chen (=sGam po pa?),Sh+'akya'i dge slong rin chen bzang po,,bris ma dbu can,,karma,la,,348,,43.8 x 9.5,
Lho brag dharma seng ge,dam pa'i chos rgyud bla ma'i 'grel gzhi gsum gyi cho ga gsal bar byed pa bdud rtsi'i nying khu,dam pa'i chos rgyud bla ma'i 'grel pa lho brag d+harma seng ges mdzad pa'i tig ka nyi 'od gsal ba,48,48,3_078_02,18748,,Lho brag dharma seng ge,d+harma seng+ge,,bru tsha,,Buddha nature,la,,351,,63.5 x 10,
Lho brag dharma seng ge,gzhi gsum gyi cho ga gsal bar byed pa bdud rtsi'i nying khu,gzhi gsum gyi cho ga gsal bar byed pa bdud rtsi'i nying khu dga' ston spel ba,33,33,3_078_03,16203,,Lho brag dharma seng ge,mi skyod rdo rje bla ma chos grub seng ge,,dpe tshugs,,ritual,wa,,19,,42 x 7,
bSod nams rin chen (=sGam po pa?),las kyi me long tshig le'ur byas pa'i bsdus don,,5,,3_078_04,,,bSod nams rin chen (=sGam po pa?),,,,,karma,,,,,,
mnga’ ris pa nam mkha’ bsod nams,rab tu byung ba’i lag len tshig don gsal ba,rab tu byung ba’i tshig don rab gsal,121,121,3_079_01,16148,,mnga’ ris pa nam mkha’ bsod nams,sh+'akya'i dge slong mnga' ris pa nam mkha' bsod nams,,shing dpar,,consecration,wa,,4,,64.2 x 9.5,
Unknown,ʼDul ba lung las btus paʼi bshad sbyar,,50,,3_079_02,,,Anonymous,,,,,Monastic rules,,,,,,
Unknown,Tshig leʼur byas pa sum brgyar paʼi don gsal bar byed,Tshig leʼur byas pa sum brgya paʼi don gsal bkod,20,20,3_079_03,16187,,Anonymous,no name given,,bru tsha,,Monastic rules,wa,,15,,65 x 10,
Unknown,ʼDul baʼi skor gyi zin bris,,12,,3_079_04,,,Anonymous,,,,,Monastic rules,,,,,,
Brag ram pa Shes rab ‘bum,ʼDul baʼi sdom tshig bsdus don gsal byed me long,‘Dul ba’i sdom tshig bsdus don gsal byed me long,8,8,3_079_05,16269,,Shes rab 'bum,Sangs rgyas bzang po'i bslab bya,Sangs rgyas bzang po,dpe tshugs,dpal nags rgyal gyi dben gnas dkar leb,Monastic rules,wa,wa,47,4,33.4 x 7.6,Same as 1_019_09 (same Drepung Cat#)
Unknown,ʼDul ba mdo rtsaʼi sa bcad,,7,,3_079_06,,,Anonymous,,,,,Monastic rules,,,,,,
Unknown,ʼDul ba kun las btus pa sdom gsum gyi rgyan,ʼDul ba kun las btus pa sdom gsum gyi rgyan,4,4,3_079_07,16213,,Anonymous,no name given,,dpe tshugs,no place,Monastic rules,wa,,25,,49.5 x 8,
gu ru bha ba'i lha,Bla ma lnga bcu paʼi lo rgyus,Bla ma lnga bcu paʼi lo rgyus,5,5,3_079_08,8792,,gu ru bha ba'i lha,no name given,,bru tsha,no place,History,ma,,392,,60 x 10,"Other versions in Drepung catalogue: 12341, 479 (kun dga' rwa ba) and 9740"
gu ru bha ba'i lha,Bla ma lnga bcu paʼi lo rgyus,Bla ma lnga bcu pa,5,3,,12341,,gu ru bha ba'i lha,slob dpon b+ha bi lha,,shing dpar,no place,History,ma,,922,,49 x 8,"Other versions: 8792, 9740 and 479 (kun dga' rwa ba)"
gu ru bha ba'i lha,Bla ma lnga bcu paʼi lo rgyus,Bla ma lnga bcu pa,5,6,,nang 79-479 (kun dga' rwa ba),,gu ru bha ba'i lha,slob dpon b+ha bi lha,,bris ma dbu can,no place,History,nang,,79,,29.5 x 11,"Other versions: 8792, 9740 and12341"
gu ru bha ba'i lha,Bla ma lnga bcu paʼi lo rgyus,Bla ma lnga bcu pa,5,3,,9740,,gu ru bha ba'i lha,slob dpon b+ha bi lha,,dpe tshugs,no place,History,ma,,518,,46.4 x 8.2,"Other versions: 8792, 479 (kun dga' rwa ba) and12342"
Unknown,mDo kun las btus paʼi ṭīkka,mngon pa kun las btus pa'i Tik+ka,224,224,3_080_01,16085,,Anonymous,unknown,,bru tsha,dpal e'i gtsug lag khang du sbyar ba; dpal e'i chos gra chen por … bris; dpal ldan e shod,Madhyamaka,dza,,16,,66 x 9.5,
Unknown,mNgon pa kun btus kyi bshad pa shes bya rab gsal,,100,,3_080_02,,,Anonymous,,,,mkhas grub du ma’i ’byung gnas ne'u thog gi chos sgra (!) chen po,Abhidharma,,,,,,
btsun pa 'khon ston,mNgon pa kun las btus paʼi rgyan,chos mngon pa'i dka' 'grel zhig,208,208,3_081_01,16100,,btsun pa 'khon ston,btsun pa 'khon ston,blo dman dbul po byang chub mngon,bru tsha,"no place (general places, India, Tibet etc)",Abhidharma,dza,,28,,72 x 10,
rin chen tshul khrims,‘grel bshad kun las btus pa’i snying po nyi ma’i ‘od zer,‘grel bshad kun las btus pa’i snying po nyi ma’i ‘od zer gyi nang ba,98,100,3_081_02,16068,,rin chen tshul khrims,gzhung brgya smra ba rin chen tshul khrims,,dpe tshugs,,Epistemology,dza,,8,,65 x 9.5,
Unknown,mngon pa kun btus kyi 'grel pa,,179,,3_082_01,,,Anonymous,,,,dpal ldan Sa skya'i chos grwa + cong to'i mkhar,Abhidharma,,,,,,
mChims 'jam dbyangs,chos mngon pa'i mdzod kyi tshig le'ur byas pa'i 'grel pa mngon pa'i rgyan zhes bya ba'i stod cha,,357,,3_083_01,,,mChims 'jam dbyangs,,,,no place,Abhidharma,,dza,,8,,"There are multiple copies of this text in the Drepung dKar chag, but the title does not refer to a stod or smad cha. 
#22085; #22359; Nang475-2459 (in 'Bras spungs pho brang gzim chung gi rje lam rim pa'i dpe mdzod dkar chag); and Nang234-839 (in 'Bras spungs sgo mang grwa tshang gi dpe mdzod dkar chag) all appear to be the same version of this text; 430 folios in each and all written in shing dpar;
#Nang101-281 (in 'Bras spungs pho brang gzim chung gi rje lam rim pa'i dpe mdzod dkar chag) is also written in shing dpar; 246 folios; size 58 x 10;
#Nang341-1822 (in 'Bras spungs pho brang gzim chung gi rje lam rim pa'i dpe mdzod dkar chag) is also written in shing dpar; 511 folios; size 64 x 12"
mChims 'jam dbyangs,chos mngon pa'i mdzod kyi tshig le'ur byas pa'i 'grel pa mngon pa'i rgyan zhes bya ba'i smad cha,,252,,3_084_01,,,mChims 'jam dbyangs,,,,bsti gnas dam pa ra ti dga' ldan gyi chos grags [grwa?] chen po,Abhidharma,,,,,,"There are multiple copies of this text in the Drepung dKar chag, but the title does not refer to a stod or smad cha. 
#22085; #22359; Nang475-2459 (in 'Bras spungs pho brang gzim chung gi rje lam rim pa'i dpe mdzod dkar chag); and Nang234-839 (in 'Bras spungs sgo mang grwa tshang gi dpe mdzod dkar chag) all appear to be the same version of this text; 430 folios in each and all written in shing dpar;
#Nang101-281 (in 'Bras spungs pho brang gzim chung gi rje lam rim pa'i dpe mdzod dkar chag) is also written in shing dpar; 246 folios; size 58 x 10;
#Nang341-1822 (in 'Bras spungs pho brang gzim chung gi rje lam rim pa'i dpe mdzod dkar chag) is also written in shing dpar; 511 folios; size 64 x 13"
mchims blo bzang grags pa,chos mngon pa'i gsal byed legs bshad rgya mtsho,chos mngon pa legs bshad rgya mtsho,302,325,3_085_01,16103,,mchims blo bzang grags pa,blo bzang grags pa,,dpe tshugs,no place,Abhidharma,dza,,20,,41 x 8,
dge slong blo gros grags / Mi nyag blo gros grags pa,chos mngon pa mdzod kyi rnam bshad slob ma la phan pa zhes bya ba'i 'grel pa,chos mngon pa mdzod kyi rnam bshad pa slob ma la phan pa zhes bya ba'i 'grel pa,121,121,3_086_01,16063,,dge slong blo gros grags / Mi nyag blo gros grags pa,shakya'i dge slong blo gros grags,,dpe tshugs,no place,Abhidharma,dza,,1,,64.2 x 9.1,
shakya'i dge slong sangs rgyas ston dpal bzang po,chos mngon pa mdzod kyi rnam bshad gzhung don gsal byed legs bshad snang ba,chos mngon pa mdzod kyi rnam par bshad pa gzhung don gsal byed legs bshad kyi snang ba,95,95,3_086_02,16072,,shakya'i dge slong sangs rgyas ston dpal bzang po,shakya'i dge slong sangs rgyas ston dpal bzang po,byang dpal,bru tsha,phan yul tro [gro?] sa'i chos gra,Abhidharma,dza,,8,,66 x 9.5,
mChims nam mkha' grags,chos mngon pa mdzod kyi bsdus don,chos mngon pa mdzod kyi bsdus don,32,32,3_086_03,16132,,mChims nam mkhaʼ grags,,,bru tsha,no place,Abhidharma,dza,,52,,42.5 x 6.7,Same as 2_049_03 (same Drepung Cat#)
btsun pa dmar ston,chos mngon pa mdzod kyi don bsdus te bstan pa/,chos mngon pa mdzod kyi don bsdus,23,23,3_086_04,16069,,btsun pa dmar ston,chos smra ba'i btsun pa dmar ston,,btu tsha,chen po'i pho brang dge ba'i gnas + gsang phu ne'u thog gi gtsug lag khang + yar lungs khra 'brug gi gtsug lag khang,Abhidharma,dza,,8,,65 x 9,
Unknown,chos mngon gsal ba'i rgyan,chos mngon pa gsal ba'i rgyan,8,8,3_086_05,16131,,Anonymous,unknown,,bris ma dbu can,gsang phu ne'u thog gi gtsug lag khang + dpal rtse dkar gyi gtsug lag khang,Abhidharma,dza,,52,,47 x 6,
Chu mig pa seng ge dpal,tshad ma rnam par nges pa’i ‘grel pa,,149,,3_087_01,,,Chu mig pa seng ge dpal,,,,no place,Epistemology,,,,,,CPN 4827(4)
Chu mig pa seng ge dpal,tshad ma sde bdun gyi don phyogs gcig tu bsdus pa,,68,,3_087_02,,,Chu mig pa seng ge dpal,,,,dPal Sa skyaʾi gtsug lag khang,Epistemology,,,,,,CPN 4827(1)
mTshur ston gZhon nu seng ge,tshad ma shes rab sgron me’i ‘grel pa,,67,,3_087_03,,,mTshur ston gZhon nu seng ge,,,,,Epistemology,,zha,,9,,CPN 4827(5)
Blo gros mtshungs med,Incipit (1b1): tshad ma’i don bsdus pa,tshad ma’i don bsdus pa,61,61,3_087_04,16323,,Blo gros mtshungs med,mnga' ris kyi dge ba'i bshes gnyen 'od zer seng ge,,dpe tshugs,,Epistemology,zha,zha,6,9,61 x 8.7,
kun dga' (*Ananda),Tshad ma rnam 'grel gsal bar byed pa'i zin bris legs par bshad pa'i rin po che'i snying po,,107,,3_088_01,,,kun dga' (*Ananda),,,,,Epistemology,,zha,,9,,CPN 5853(5)
Anonymous,Tshad ma’i legs bshad dri med bcud kyi bdud rtsi,Tshad ma'i legs bshad dri med bcud kyi bdud rtsi,47,,3_088_02,16359,,Anonymous,no name given,,,no place,Epistemology,zha,zha,62,6,63 x 9,Duplicate of 2_046_03
Dharmottara,gtan tshigs tshul gsum gyi zin bris (actually: PVinT 3),gtan tshigs tshul gsum la sogs gyi zin bris,34,79,3_088_03,16378,,Dharmottara,no name given,,,work on which this work is based was composed in gte' ra bkra shis dbu mang gi dgon pa,Epistemology,zha,,21,,60 x 10,
Unknown,mngon sum le’u’i ‘grel pa slob ma’i yid ‘phrog,mngon sum le’u’i ‘grel pa slob ma’i yid ‘phrog,30,30,3_088_04,16383,,Anonymous,no name given,,dpe tshugs,,Epistemology,zha,zha,23,23,59 x 9,
chos kyi bzhad pa,tshad ma’i de kho na nyid bsdus pa nye bar bsdus pa / ye shes rdo rje rin chen,tshad ma’i de kho na nyid bsdus pa nye bar bsdus pa,21,21,3_088_05,16419,,chos kyi bzhad pa,rdo rje dbang grags,,dpe tshugs,de? re lung gi brag phug,Epistemology,zha,zha,31,21,68 x 10.2,
zhwa lu lo tsa bas chos skyong bzang po / rdo ban chos kyi gzi brjid ?,sgra'i bstan bcos rig pa bklag pa'i don,rig pa bklag pa'i thabs,13,13,3_088_06,16480,,zhwa lu lo tsa bas chos skyong bzang po / rdo ban chos kyi gzi brjid ?,zhwa lu lo ts+'a ba chos skyong bzang po,,,,grammar/orthography,,zha,,23,,
zha lu Rin chen bsod nams ‘phel (14th c.),bsdus chos nor bu’i phreng ba,bsdus chos nor bu’i phreng ba,10,10,3_088_07,16468,,zha lu Rin chen bsod nams ‘phel (14th c.),zha lu Rin chen bsod nams ‘phel,,dpe tshugs,no place,Epistemology,zha,zha,45,31,45 x 9.2,
Unknown,phung po lnga'i rab dbye,slob dpon dbyig gnyen gyis mdzad pa'I phung po rab tu dbye tshul,9,9,3_088_08,19864?,,Anonymous,slob dpon dbyig gnyen,,dpe tshugs,dpal snar thang gi chos grwa chen po bde bar gshegs pa'i bka' dang/ mkhas pa'i bstan bcos ma lus pa bzhugs pa'i gtsug lag khang,Five aggregates,la,za,577,2,67 x 9,
Unknown,tshad ma rang rig gi sgrub tshul,Tshad ma sde bdun nang rig tu sgrub tshul,7,9,3_088_09,16380,,Anonymous,no name given,,dpe tshugs,no place,Epistemology,zha,zha,,23,27 x 6.5,
dBus pa blo gsal,Grub mtha' rnam par bshad pa'i mdzod,,127,,3_089_01,,,dBus pa blo gsal,,,,no place,Doxography,,,,,,
bu ston seng ge 'od,Legs spyad nyi ma'i 'od zer mtshon cha'i rgyal po,,68,,3_089_02,,,bu ston seng ge 'od,,,,no place,Perfection of wisdom,,zha,,23,,
Nyi ma brtson 'grus=dga' gdong slob dpon,legs dpyad blo'i mun sel. Colophon: mdo dang bstan bcos kyi brjod bya dka' ba'i gnad 'ga' bstan pa'i legs spyad blo'i mun sel,legs dpyad blo'i mun sel,22,22,3_089_03,19860,,Nyi ma brtson 'grus=dga' gdong slob dpon,sh+'akya'i dge slong nyi ma brtson 'grus,,bru tsha,no place,Perfection of wisdom,la,,577,,66 x 10,
dBus pa blo gsal (sangs rgyas 'bum),rtags kyi 'jug pa'i 'grel pa,rtags kyi 'jug pa'i 'grel pa,13,11,3_089_04,nang 114-403 ('bras spungs pho brang gzim chung),,dBus pa blo gsal (sangs rgyas 'bum),dBus pa blo gsal,,shing dpar,no place,grammar/orthography,nang,,403,,60 x 10,If shing dpar is correct then it is another edition of this work
dBus pa blo gsal (sangs rgyas 'bum),sum cu pa'i 'grel pa,,11,,3_089_05,,,dBus pa blo gsal (sangs rgyas 'bum),,,,no place,grammar/orthography,,,,,,
dBus pa blo gsal (sangs rgyas 'bum),brda'i bstan bcos rtags 'jug gi 'grel pa,brda'i bstan bcos rtags 'jug gi 'grel pa,10,10,3_089_06,16626,,dBus pa blo gsal (sangs rgyas 'bum),dBus pa blo gsal,,dpe tshugs,,grammar/orthography,za,,35,,40 x 7,
dBus pa blo gsal (sangs rgyas 'bum),bde bar gshegs pa stong gi mtshan bstod. Incipit: bskal pa bzang po'i sang rgyas stong gi mtshan gyi 'phren pa dpel ba'i bstod pa,,6,,3_089_07,,,dBus pa blo gsal (sangs rgyas 'bum),,,,,eulogy,,,,,,
Unknown,rab tu rgyas pa dam pa'i chos kyi tshoms chen po thar pa'i lam po che. Cover: thar ba'i lam po che,,245,,3_090_01,,,Anonymous,,,,,,,,,,,
Unknown,snying po'i don gsal ba de kho na nyid. Incipit: bde gshegs snying po,snying po don gsal ba de kho na nyid,281,24,3_090_02,10532?,,Anonymous,bka' bzhi pas,,bru tsha,,Perfection of wisdom,ma,,,,39.5 x 9,
Atisha,Byang chub lam gyi rim pa. dpal mar me mdzad ye shes kyis mdzad pa'i byang chub lam gyi rim pa,,91,,4_091_01,,,Atisha,,,,,Stages of the path,,,,,,
,rGyud sdeʼi spyiʼi rnam par bzhag pa ʼthad ldan lung gi rgyan gyis spras pa,,39,,4_091_02,,,Lo chen rin chen bzang po,,,,no place,,,,,,,"An Exposition of Tantric Literature Embellished by an Ornament of Correct Scripture
7th work in his gsung 'bum (2018)
A manuscript of this work in seventy-eight folios is registered in a recently published cat-alog of rare [and not so rare] works that are housed in the library of 'Phan po Na lendra monastery: Bod khul gyi chos sde grags can khag gi dpe rnying dkar chag, ed. Ska ba Shes rab bzang po (Beijing: Mi rigs dpe skrun khang, 2010), 196, no. 4289, under volume 538 Ka"
Lo chen Rin chen bzang po,sDom pa dang dam tshig mdo bsdus,Slob dpon rin chen bzang pos gsungs pa'i dam tshig mdor bsdus bstan pa,7,8,4_091_03,12613,,Lo chen rin chen bzang po,Lo ts+'a ba rin chen bzang po,,bru tsha,,Vows,ma,ma,938,938,33.4 x 10.1,"According to Dan Y (https://tibeto-logic.blogspot.com/2022/03/consecration-rite-of-great-translator.html): the colophon says that it was “spoken” by Rinchen Zangpo, and this means someone else transcribed it. Then it says that someone named Rngos (with unclear inserted letters that look like Mar-ston) made persistent requests to Lba-ston (~Wa-ston?) Jo-dga’ to learn about it. There was a Jo-dga’ in the western Tibetan royal lineage whose lifespan could have coincided with Rinchen Zangpo’s (Roerich’s Blue Annals, p. 38).
This is listed in van der Kuijp's 'Bird Face: Part 1'"
po to ba rin chen gsal,sher phyin gyi don bsdus,sher phyin gyi don bsdus,12,12,4_091_04,19881,,po to ba rin chen gsal,rin chen gsal,,bris ma dbu can,,Perfection of wisdom,la,,583,,46 x 6,
Shes rab grags pa,lam gyi rim pa,lam gyi rim pa,113,121,4_091_05,18928,,Shes rab grags pa,dge bshes Shes rab grags pa,,dpe tshugs,,Stages of the path,la,,387,,35 x 10,
dol pa shes rab rgya mtsho,bKaʼ gdams kyi man ngag be bum sngon poʼi ʼgrel pa,,274,,4_092_01,,,dol pa shes rab rgya mtsho,,,,,,,,,,,
Unknown,lam gyi rim pa,,100,,4_093_01,,,Anonymous,,,,,Stages of the path,,,,,,
lha 'bri sgang,dGe baʼi bshes gnyen gad paʼi mdzad paʼi beʼu bum gyi ʼgrel pa,dGe baʼi bshes gnyen yang dag paʼi beʼu bum gyi ʼgrel pa ,144,144,4_093_02,18434,,lha 'bri sgang,lha 'bri sgang pa,,bris ma dbu can,,,la,,223,,67 x 11.5,
kha rag sgom chung dbang phyug blo gros,Kha rag sgom chung ang yig,Kha rag sgom chung ang yig,9,9,4_093_03,7026,,kha rag sgom chung dbang phyug blo gros,kha rag sgom chung,,dpe tshugs,,,ma,,125,,25.2 x 7.5,
dGe bshes Zhang sha ra ba yon tan grags,sha ra bas dge bshes ston pa'i yig srol ji bzhin gsung pa,,10,,4_094_01,,,dGe bshes Zhang sha ra ba yon tan grags,,,,,,,,,,,
dGe bshes Zhang sha ra ba yon tan grags,sTag mo lus sbyin las brtsams paʼi blo sbyong khrid yig,,34,,4_094_02,,,dGe bshes Zhang sha ra ba yon tan grags,,,,no place,,,,,,,
lCe sgom rdzong ba shes rab rdo rje / mkha' skyong nam mkha' brag,dGe bshes po to ba'i rnam thar. Colophon: po to skor ba'i khyad chos don gsal bar byad pa'i sgron ma // dpe chos rin chen spungs pa'i bum 'brel,,199,,4_094_03,,,lCe sgom rdzong ba shes rab rdo rje / mkha' skyong nam mkha' brag,,,,,,,,,,,
lCe sgom rdzong pa shes rab rdo rje,dPe chos rin chen spungs paʼi gzhung ʼgrel chen mo,dPe chos rin chen spungs paʼi gzhung ʼgrel chen mo,242,142,4_095_01,18722,,lCe sgom rdzong pa shes rab rdo rje,btsun pa shes rab rdo rje,,dpe tshugs,,,la,,346,,40.5 x 8.8,
lCe sgom rdzong pa shes rab rdo rje,,dPe chos rin chen spungs pa,,182,,nang467-2410  ('bras spungs pho brang gzim chung),,lCe sgom rdzong pa shes rab rdo rje,btsun pa shes rab rdo rje,,shing dpar,,,nang,,467,,46 x 10,"Other versions: nang 356-1210, nang 16-58 and nang 24-87"
lCe sgom rdzong pa shes rab rdo rje,,dPe chos rin chen spungs pa,,182,,nang16-58  ('bras spungs sgo mang grwa tshang),,lCe sgom rdzong pa shes rab rdo rje,btsun pa shes rab rdo rje,,shing dpar,,,nang,,16,,43 x 8.5,"Other versions: nang 356-1210, nang 467-2410 and nang 24-87"
lCe sgom rdzong pa shes rab rdo rje,,dPe chos rin chen spungs pa,,182,,nang24-87  ('bras spungs sgo mang grwa tshang),,lCe sgom rdzong pa shes rab rdo rje,btsun pa shes rab rdo rje,,shing dpar,,,nang,,24,,49 x 10,"Other versions: nang 356-1210, nang 467-241 nang 16-58"
lCe sgom rdzong pa shes rab rdo rje,,dPe chos rin chen spungs pa,,182,,nang356-1210  ('bras spungs sgo mang grwa tshang),,lCe sgom rdzong pa shes rab rdo rje,lCe sgom rdzong pa shes rab rdo rje,,shing dpar,,,nang,,356,,53.5 x 9,"Other versions: nang 467-2411, nang 16-59, and nang 24-87"
lCe sgom rdzong pa shes rab rdo rje,bKaʼ gdams thor bu ba,,18,,4_095_02,,,lCe sgom rdzong pa shes rab rdo rje,,,,,,,,,,,
lCe sgom rdzong pa shes rab rdo rje,mDo sdeʼi lung btus chung ba,mDo sdeʼi lung btus chung ngu,22,270,4_096_01,18080,,lCe sgom rdzong pa shes rab rdo rje,lCe sgom rdzong pa,,bru tsha,no place,Vows,la,,95,,34 x 7.5,
lCe sgom rdzong pa shes rab rdo rje,bKaʼ gdams kyi skyes bu dam pa rnams kyi gsung bgros thor bu,,27,,4_096_02,,,lCe sgom rdzong pa shes rab rdo rje,,,,,,,,,,,"There is a work with the same title and number of folios in the Drepung catalogue (nang 150-659, p. 2011), but it is ascribed to bka' gdams kyi bla ma sna tshogs"
lCe sgom rdzong pa shes rab rdo rje,mDo sdeʼi lung btus chung ba man ngag rin po che spungs pa,mDo sdeʼi lung btus chung ba man ngag rin po che spungs pa,216,217,4_096_03,18077,,lCe sgom rdzong pa shes rab rdo rje,bla ma rin che lce sgom rdzong pa,,bru tsha,no place,,la,95,95,,none given,
lCe sgom rdzong pa shes rab rdo rje,Kha skyong brag pa cer sgom rin po cheʼi mgur ʼbum dang zin bris kha thor sna tshogs,,221,,4_097_01,,,lCe sgom rdzong pa shes rab rdo rje,,,,,,,,,,,
lCe sgom rdzong pa shes rab rdo rje,mDo sdeʼi don bsdus man ngag rin po cheʼi gter mdzod,mDo sdeʼi don bsdus gdam ngag dang rin po cheʼi gter mdzod,84,310,4_098_01,18078,,lCe sgom rdzong pa shes rab rdo rje,gro ba'i mgon po lce sgom,,bru tsha,,,la,,95,,33 x 7.6,
